referee,n,avg_cards,liga_avg,factor_raw,factor,ligas
André Luiz,2,8.0,5.329,1.5014,1.0836,71
Paulo Belence Alves dos Prazeres Filho,2,5.0,5.329,0.9383,0.9897,71
Bruno Mota Correia,2,4.5,5.329,0.8445,0.9741,71
Fabio Augusto Santos Sá Junior,2,4.5,5.329,0.8445,0.9741,71
M. Donohue,2,6.5,4.254,1.5278,1.088,39
Kleber Ariel Gonçalves da Silva,2,6.5,5.329,1.2199,1.0366,71
Jefferson Ferreira de Moraes,2,4.0,5.329,0.7507,0.9584,71
M. Radina,2,5.0,4.809,1.0398,1.0066,3
E. Jorgji,2,4.0,4.809,0.8319,0.972,3
O. Berka,2,5.5,4.809,1.1438,1.024,3
T. Bognár,2,4.5,4.809,0.9358,0.9893,3
M. Burda,2,3.0,4.13,0.7263,0.9544,78
D. Strukan,2,4.5,4.809,0.9358,0.9893,3
R. Braun,2,4.5,4.13,1.0895,1.0149,78
Lucas Casagrande,2,4.5,5.329,0.8445,0.9741,71
"Pablo Gimenez, Argentina",2,6.5,5.505,1.1807,1.0301,128
H. Mastrángelo,2,8.0,5.505,1.4531,1.0755,128
"Mendez Chavez, Ivo Nigel, Bolivia",2,3.5,4.962,0.7053,0.9509,"11,13"
D. Zamora,2,6.0,5.505,1.0898,1.015,128
"Ostojich, Esteban, Uruguay",2,7.5,5.085,1.475,1.0792,13
F. Tello,2,6.0,5.505,1.0898,1.015,128
"Wolf, Victor, Sweden",2,5.0,3.965,1.261,1.0435,113
"Fernandes de Lima, Felipe, Brazil",2,4.0,5.329,0.7507,0.9584,71
"Johnson, Oscar, Sweden",2,5.0,3.965,1.261,1.0435,113
"Klitte, Fredrik, Sweden",2,2.5,3.965,0.6305,0.9384,113
"Alves Batista, Edina, Brazil",2,5.0,5.084,0.9835,0.9972,"11,71"
Carlos Paul Benitez Achar,2,7.0,5.085,1.3767,1.0628,13
Esteban Ostojich,2,6.5,5.085,1.2784,1.0464,13
Yael Falcón Pérez,2,4.0,5.295,0.7554,0.9592,"13,128"
C. Ortega,2,7.5,4.84,1.5497,1.0916,11
D. Perenzoni,2,5.5,4.189,1.3131,1.0522,135
"Aganovic, Adi, Sweden",2,3.0,3.965,0.7566,0.9594,113
"Maqedonci, Granit, Sweden",2,2.5,3.965,0.6305,0.9384,113
"Sundell, Richard, Sweden",2,4.5,3.965,1.1349,1.0225,113
Derlis Fabián López López,2,2.5,5.085,0.4917,0.9153,13
Maximiliano Ramírez,2,7.0,5.085,1.3767,1.0628,13
"Braulio Da Silva Machado, Brazil",2,6.5,5.329,1.2199,1.0366,71
A. Kitchen,2,2.0,4.254,0.4701,0.9117,39
"Carlos Ortega, Colombia",2,5.5,4.962,1.1084,1.0181,"11,13"
"Juan Carlos Andrade Arreaga, Ecuador",2,2.5,4.84,0.5166,0.9194,11
Piero Maza Gomez,2,5.5,5.085,1.0817,1.0136,13
"Diego Ulloa Angulo, Colombia",2,3.0,4.84,0.6199,0.9366,11
D. Webb,2,3.5,4.254,0.8227,0.9704,39
A. Yılmaz,2,2.5,4.969,0.5031,0.9172,203
N. Ramírez,2,8.0,5.505,1.4531,1.0755,128
"Carlos P. Benitez, Paraguay",2,4.5,4.962,0.9069,0.9845,"11,13"
Jesús Valenzuela Sáez,2,6.5,5.085,1.2784,1.0464,13
"Ivo Nigel Mendez Chavez, Bolivia",2,6.0,4.84,1.2398,1.04,11
Carlos Andrés Betancur Gutiérrez,2,5.0,5.085,0.9834,0.9972,13
"Jose Burgos, Uruguay",2,3.5,4.84,0.7232,0.9539,11
"Alex Fabricio Cajas Torres, Ecuador",2,4.0,4.84,0.8265,0.9711,11
Andrés Matonte,2,6.0,5.085,1.18,1.03,13
"Gustavo Ervino Bauermann, Brazil",2,3.5,5.329,0.6568,0.9428,71
S. Lax,2,3.0,4.825,0.6217,0.937,"141,143"
C. Muniz,2,6.5,4.825,1.3471,1.0578,"141,143"
Stuart Attwell,2,6.0,4.254,1.4103,1.0684,39
Chris Kavanagh,2,3.0,4.254,0.7052,0.9509,39
A. Morilla,2,3.0,4.825,0.6217,0.937,"141,143"
Luis Lobo Medina,2,7.0,5.505,1.2715,1.0452,128
"Andre Luiz Skettino Policarpo Bento, Brazil",2,6.0,5.329,1.126,1.021,71
G. Cid,2,2.0,4.393,0.4552,0.9092,143
T. Kirk,2,7.0,4.129,1.6953,1.1159,45
"Omer Faruk Turtay, Türkiye",2,2.5,4.969,0.5031,0.9172,203
F. Viola,2,5.5,5.505,0.999,0.9998,128
P. Dovalo,2,2.0,5.505,0.3633,0.8939,128
F. Vejar,2,6.0,4.962,1.2092,1.0349,"11,13"
A. Aragon,2,3.5,4.962,0.7053,0.9509,"11,13"
N. Ramirez,2,6.0,5.505,1.0898,1.015,128
"Juan Pablo Loustau, Argentina",2,5.0,5.505,0.9082,0.9847,128
W. Roldan,2,3.0,5.085,0.59,0.9317,13
"Alvaro Caranza, Argentina",2,4.5,5.505,0.8174,0.9696,128
"Jose Cabero Rebolledo, Chile",2,4.0,5.085,0.7867,0.9644,13
G. A. Vargas Carreno,2,5.0,4.84,1.0331,1.0055,11
A. Rojas,2,8.5,4.84,1.7564,1.1261,11
H. Heras,2,6.5,4.84,1.3431,1.0572,11
C. Benitez,2,8.0,4.84,1.653,1.1088,11
"Antonio Alberola Rojas, Spain",1,4.0,4.844,0.8258,0.9842,140
R. Madley,1,3.0,4.254,0.7052,0.9732,39
"Alejandro Ruiz Aguilera, Spain",1,6.0,4.844,1.2387,1.0217,140
I. Pezzuto,1,9.0,4.189,2.1487,1.1044,135
