fecha_analisis,fixture_id,partido,competicion,mercado,lado,odds,modelo_prob,implied_prob,edge,ev_pct,metodo,categoria,alcance,resultado,odds_close,clv_pct,fecha_cierre,odds_close_est,clv_pct_est,clv_method
2026-04-24 21:18,1392164,Cordoba vs Sporting Gijon,"('LaLiga 2', False)",Goles tot. O/U 2.5,Under/No,2.15,0.5685,0.4372,0.1314,0.2224,v3.6,Goles,Total,L,,,,,,
2026-04-24 21:18,1392164,Cordoba vs Sporting Gijon,"('LaLiga 2', False)",Goles Sporting Gijon O/U 1.5,Under/No,1.53,0.7200,0.6087,0.1113,0.1015,v3.6,Goles,Visitante,L,,,,,,
2026-04-24 21:18,1392164,Cordoba vs Sporting Gijon,"('LaLiga 2', False)",BTTS,Under/No,2.25,0.5169,0.4110,0.1059,0.1629,v3.6,BTTS,Total,L,,,,,,
2026-04-24 21:18,1392165,Granada CF vs Almeria,"('LaLiga 2', False)",Goles Almeria O/U 1.5,Under/No,1.67,0.6824,0.5570,0.1254,0.1396,v3.6,Goles,Visitante,L,,,,,,
2026-04-24 21:18,1392163,Mirandes vs Cultural Leonesa,"('LaLiga 2', False)",BTTS,Under/No,2.00,0.5094,0.4638,0.0456,0.0189,v3.6,BTTS,Total,L,,,,,,
2026-04-24 21:19,1392162,AD Ceuta FC vs Racing Santander,"('LaLiga 2', False)",Goles Racing Santander O/U 1.5,Under/No,2.00,0.6420,0.4638,0.1782,0.2839,v3.6,Goles,Visitante,W,2.10,-4.76,2026-04-26 18:44,,,exact
2026-04-24 21:19,1392162,AD Ceuta FC vs Racing Santander,"('LaLiga 2', False)",Goles Racing Santander O/U 2.5,Under/No,1.28,0.8649,0.7322,0.1327,0.1071,v3.6,Goles,Visitante,W,1.33,-3.76,2026-04-26 18:44,,,exact
2026-04-24 21:19,1392162,AD Ceuta FC vs Racing Santander,"('LaLiga 2', False)",Goles Racing Santander O/U 0.5,Under/No,5.50,0.2827,0.1717,0.1111,0.5551,v3.6,Goles,Visitante,W,6.00,-8.33,2026-04-26 18:44,,,exact
2026-04-24 21:19,1392162,AD Ceuta FC vs Racing Santander,"('LaLiga 2', False)",BTTS,Under/No,2.50,0.4172,0.3750,0.0422,0.0430,v3.6,BTTS,Total,W,2.38,+5.04,2026-04-26 18:44,,,exact
2026-04-24 21:20,1394706,Eyüpspor vs Gaziantep FK,"('Super Lig', False)",BTTS,Under/No,2.10,0.4885,0.4430,0.0455,0.0257,v3.6,BTTS,Total,W,2.20,-4.55,2026-04-25 11:21,,,exact
2026-04-25 00:28,1492044,Belgrano Cordoba vs Gimnasia L.P.,"('Liga Profesional', False)",Goles Gimnasia L.P. O/U 0.5,Over/Si,1.80,0.7355,0.5148,0.2207,0.3239,v3.6,Goles,Visitante,W,1.73,+4.05,2026-04-26 20:14,,,exact
2026-04-25 00:28,1492044,Belgrano Cordoba vs Gimnasia L.P.,"('Liga Profesional', False)",Goles Gimnasia L.P. O/U 1.5,Over/Si,5.00,0.3842,0.1896,0.1946,0.9210,v3.6,Goles,Visitante,L,4.50,+11.11,2026-04-26 20:14,,,exact
2026-04-25 00:28,1492044,Belgrano Cordoba vs Gimnasia L.P.,"('Liga Profesional', False)",BTTS,Over/Si,2.20,0.5507,0.4241,0.1266,0.2115,v3.6,BTTS,Total,L,2.20,+0.00,2026-04-26 20:14,,,exact
