fid,fecha,liga,atk_L,atk_V,def_L,def_V,mu_L,mu_V,mu_cor,mu_sh_L,mu_sh_V,g_L,g_V,c_L,c_V,s_L,s_V
1237948,2024-11-10,203,1.2484292710961609,0.9554736478904412,0.8774112134864145,1.2755854822368706,2.3427805080086794,1.0721120956637418,9.509473986122428,15.046383965962388,10.936974607096438,2,0,5,6,17,12
1237949,2024-11-10,203,1.3290767950837723,1.352930226703414,0.8636796439886653,0.753843503159704,1.4938089073154728,1.557997728720945,9.520220068658972,14.987718704252659,9.557716602931446,3,2,7,3,19,10
1237950,2024-11-10,203,1.2055316883431522,1.06086214805636,0.9796751767826605,0.87651044184345,1.5750231681446978,1.3922702298713108,9.539749891333251,13.476379299786014,11.230252206265265,0,0,6,2,11,12
1237956,2024-11-10,203,1.0670703817419305,1.1307791162853766,0.8408796408783377,1.100033484018851,1.770626673810484,1.2618745559298836,9.51393174927679,16.506118174211213,9.909549564564148,4,0,8,5,24,6
1217644,2024-11-11,141,0.7451003173355681,0.8300999049857329,0.9090434969052907,0.9850674873856858,1.0212158523411985,0.8422933192673212,9.566032068242441,14.72718959636134,9.535761999287859,1,0,7,6,12,13
1180678,2024-11-13,71,1.088052742519039,1.0080097954192555,0.8623419969925245,1.3712381095246293,2.122636790742536,0.845413499091998,10.064932468498826,14.488795623015763,11.60716638176003,0,0,7,4,25,16
1180542,2024-11-16,71,0.8867079809161366,0.9255185864836243,0.9468329716483147,1.2513346409886803,1.5003031432383351,0.7656920276442756,10.091146746068489,18.698372573514384,11.247436782405671,1,0,4,3,17,13
1217656,2024-11-16,141,0.9815740417883461,0.7526343340210071,1.0098668621019298,1.0319016380017705,1.4068944417759108,0.8569809362344898,9.551622971720002,13.267755207052076,9.349282976272258,1,3,7,7,14,17
1217657,2024-11-16,141,0.8592412568775742,0.8295246435514028,0.8976212058386286,0.9392991578559988,1.0330682738947012,0.8835907075033962,9.594779493739512,12.965704020937125,10.28939499676572,2,0,6,4,16,7
1217659,2024-11-16,141,1.0631870559677676,1.1418440662361335,1.1483499309962764,1.2265925325606437,1.7212932886262775,1.5513167840545616,9.591928033810902,15.981239819683118,10.750582626476072,2,0,4,6,9,13
1217660,2024-11-16,141,1.0142859257187653,0.8360813505007489,0.8450154788753081,1.1402089340918125,1.5024733435498383,0.7777096155357144,9.632465303605457,15.812021742287364,10.732347287504322,2,0,1,7,3,9
1217661,2024-11-16,141,1.187999758571308,0.9050594887070437,0.8978271757719459,0.8324982304873709,1.3316051342940378,0.9831771653665085,9.59340738719735,12.581759446342048,12.05517499209969,1,1,5,5,13,13
1217662,2024-11-16,141,1.1084654331254673,1.1951573046958954,0.7643621131783417,1.094017211931622,1.7189420582788715,1.0788231089782307,9.58241926162327,12.433687762738925,9.805372621549443,1,2,4,0,9,9
1217653,2024-11-17,141,1.2126794424089122,1.3352920075964017,1.1073489548786482,1.0862293623420511,1.7676618556790618,1.7904168903349618,9.569234674627397,16.278909718037152,13.064444731024437,2,1,7,4,16,7
1217654,2024-11-17,141,0.8975665648165005,0.7486061027090936,1.0257083165705991,1.2960862271339104,1.5660126227234499,0.9316598265328553,9.55760898961324,14.179928536430735,10.88411170244871,2,0,5,9,10,20
1217655,2024-11-17,141,0.7264589194250346,0.8471551120275022,1.1823521299691262,0.897261448683781,0.8449626465015614,1.151842719718474,9.592909302788714,12.495400133179253,10.90025035157382,1,0,4,5,9,15
1217658,2024-11-17,141,1.3140440733766507,0.863321475190138,0.9298253198308036,1.3277743216894369,2.4027657706373717,0.9172756935703552,9.58895354955142,14.243371157132003,9.041586958913138,3,1,4,4,15,12
1217663,2024-11-17,141,1.1273701100117244,0.9212400233282061,1.062888797313975,0.9212400233282061,1.374985254789432,1.081896773912182,9.574809575178245,14.250121234710969,10.695376706038036,0,0,5,5,20,8
